N, M, Iteration, Cells/sec, Time_sec
32,32,0,7.78116e+08,1.316e-06
32,32,1,1.71524e+09,5.97e-07
32,32,2,1.51704e+09,6.75e-07
32,32,3,2.04391e+09,5.01e-07
32,32,4,2.2069e+09,4.64e-07
32,32,5,2.1157e+09,4.84e-07
32,32,6,2.44391e+09,4.19e-07
32,32,7,1.84838e+09,5.54e-07
32,32,8,1.54217e+09,6.64e-07
32,32,9,1.63578e+09,6.26e-07
32,32,10,1.47126e+09,6.96e-07
32,32,11,1.7747e+09,5.77e-07
32,32,12,1.72391e+09,5.94e-07
32,32,13,1.79335e+09,5.71e-07
32,32,14,1.85844e+09,5.51e-07
64,64,0,1.12219e+10,3.65e-07
64,64,1,7.84674e+09,5.22e-07
64,64,2,6.67101e+09,6.14e-07
64,64,3,7.02573e+09,5.83e-07
64,64,4,8.0789e+09,5.07e-07
64,64,5,7.75758e+09,5.28e-07
64,64,6,1.40274e+10,2.92e-07
64,64,7,7.96887e+09,5.14e-07
64,64,8,8.65962e+09,4.73e-07
64,64,9,8.01566e+09,5.11e-07
64,64,10,7.87692e+09,5.2e-07
64,64,11,8.39344e+09,4.88e-07
64,64,12,8.24145e+09,4.97e-07
64,64,13,8.03137e+09,5.1e-07
64,64,14,8.67797e+09,4.72e-07
128,128,0,3.70679e+10,4.42e-07
128,128,1,3.06816e+10,5.34e-07
128,128,2,2.8346e+10,5.78e-07
128,128,3,2.62144e+10,6.25e-07
128,128,4,2.85436e+10,5.74e-07
128,128,5,4.87619e+10,3.36e-07
128,128,6,3.02288e+10,5.42e-07
128,128,7,3.0397e+10,5.39e-07
128,128,8,3.20626e+10,5.11e-07
128,128,9,3.78383e+10,4.33e-07
128,128,10,3.23794e+10,5.06e-07
128,128,11,4.84734e+10,3.38e-07
128,128,12,3.18136e+10,5.15e-07
128,128,13,3.53103e+10,4.64e-07
128,128,14,2.71708e+10,6.03e-07
256,256,0,1.91626e+11,3.42e-07
256,256,1,1.1894e+11,5.51e-07
256,256,2,9.34893e+10,7.01e-07
256,256,3,1.21363e+11,5.4e-07
256,256,4,1.1981e+11,5.47e-07
256,256,5,1.12605e+11,5.82e-07
256,256,6,1.19591e+11,5.48e-07
256,256,7,2.04162e+11,3.21e-07
256,256,8,1.3402e+11,4.89e-07
256,256,9,1.22041e+11,5.37e-07
256,256,10,1.27502e+11,5.14e-07
256,256,11,1.33747e+11,4.9e-07
256,256,12,1.44352e+11,4.54e-07
256,256,13,1.31863e+11,4.97e-07
256,256,14,1.24121e+11,5.28e-07
512,512,0,3.6108e+11,7.26e-07
512,512,1,3.49992e+11,7.49e-07
512,512,2,4.73184e+11,5.54e-07
512,512,3,5.05094e+11,5.19e-07
512,512,4,5.5539e+11,4.72e-07
512,512,5,5.67411e+11,4.62e-07
512,512,6,5.20127e+11,5.04e-07
512,512,7,4.98373e+11,5.26e-07
512,512,8,4.98373e+11,5.26e-07
512,512,9,7.64268e+11,3.43e-07
512,512,10,8.11591e+11,3.23e-07
512,512,11,8.40205e+11,3.12e-07
512,512,12,6.84449e+11,3.83e-07
512,512,13,7.64268e+11,3.43e-07
512,512,14,8.192e+11,3.2e-07
1024,1024,0,7.17711e+11,1.461e-06
1024,1024,1,1.68581e+12,6.22e-07
1024,1024,2,1.99349e+12,5.26e-07
1024,1024,3,1.62067e+12,6.47e-07
1024,1024,4,1.82998e+12,5.73e-07
1024,1024,5,1.86912e+12,5.61e-07
1024,1024,6,1.72747e+12,6.07e-07
1024,1024,7,1.84608e+12,5.68e-07
1024,1024,8,1.68581e+12,6.22e-07
1024,1024,9,1.36179e+12,7.7e-07
1024,1024,10,1.6384e+12,6.4e-07
1024,1024,11,1.37069e+12,7.65e-07
1024,1024,12,1.66971e+12,6.28e-07
1024,1024,13,1.65652e+12,6.33e-07
1024,1024,14,1.705e+12,6.15e-07
2048,2048,0,1.98406e+12,2.114e-06
2048,2048,1,7.20671e+12,5.82e-07
2048,2048,2,6.92129e+12,6.06e-07
2048,2048,3,2.94544e+12,1.424e-06
2048,2048,4,6.44286e+12,6.51e-07
2048,2048,5,6.5028e+12,6.45e-07
2048,2048,6,7.08497e+12,5.92e-07
2048,2048,7,7.23156e+12,5.8e-07
2048,2048,8,8.43924e+12,4.97e-07
2048,2048,9,8.96219e+12,4.68e-07
2048,2048,10,9.61996e+12,4.36e-07
2048,2048,11,1.02051e+13,4.11e-07
2048,2048,12,7.3327e+12,5.72e-07
2048,2048,13,7.21911e+12,5.81e-07
2048,2048,14,9.79978e+12,4.28e-07
4096,4096,0,3.96624e+12,4.23e-06
4096,4096,1,2.95894e+13,5.67e-07
4096,4096,2,2.728e+13,6.15e-07
4096,4096,3,3.55449e+13,4.72e-07
4096,4096,4,4.20482e+13,3.99e-07
4096,4096,5,3.09543e+13,5.42e-07
4096,4096,6,3.82169e+13,4.39e-07
4096,4096,7,3.41695e+13,4.91e-07
4096,4096,8,3.13008e+13,5.36e-07
4096,4096,9,2.64625e+13,6.34e-07
4096,4096,10,2.61735e+13,6.41e-07
4096,4096,11,3.79575e+13,4.42e-07
4096,4096,12,3.04487e+13,5.51e-07
4096,4096,13,3.07839e+13,5.45e-07
4096,4096,14,3.24511e+13,5.17e-07
8192,8192,0,1.7637e+13,3.805e-06
8192,8192,1,1.52174e+14,4.41e-07
8192,8192,2,1.21354e+14,5.53e-07
8192,8192,3,1.20699e+14,5.56e-07
8192,8192,4,1.40395e+14,4.78e-07
8192,8192,5,1.24738e+14,5.38e-07
8192,8192,6,1.28808e+14,5.21e-07
8192,8192,7,1.12788e+14,5.95e-07
8192,8192,8,1.05683e+14,6.35e-07
8192,8192,9,1.0824e+14,6.2e-07
8192,8192,10,1.18358e+14,5.67e-07
8192,8192,11,8.13441e+13,8.25e-07
8192,8192,12,1.08766e+14,6.17e-07
8192,8192,13,1.13744e+14,5.9e-07
8192,8192,14,1.23589e+14,5.43e-07
16384,16384,0,7.04555e+13,3.81e-06
16384,16384,1,4.11711e+14,6.52e-07
16384,16384,2,3.98864e+14,6.73e-07
16384,16384,3,4.70115e+14,5.71e-07
16384,16384,4,5.81029e+14,4.62e-07
16384,16384,5,5.95201e+14,4.51e-07
16384,16384,6,5.39027e+14,4.98e-07
16384,16384,7,5.81029e+14,4.62e-07
16384,16384,8,4.20087e+14,6.39e-07
16384,16384,9,4.39338e+14,6.11e-07
16384,16384,10,6.00527e+14,4.47e-07
16384,16384,11,5.47827e+14,4.9e-07
16384,16384,12,5.01749e+14,5.35e-07
16384,16384,13,4.3862e+14,6.12e-07
16384,16384,14,4.88953e+14,5.49e-07
